N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
1500,0.9993337774816793,0.9993337774816792,0.9993337774816788,4.443852693232961e-16,3.33288951992472e-16,3.8363694203081207,3.8363694203086647,5.440092820663267e-13
1510,0.9993381866313704,0.9993381866313703,0.99933818663137,4.443833086645329e-16,3.3328748149839963e-16,3.839690587792828,3.83969058779362,7.922551503725117e-13
1520,0.9993425378040767,0.9993425378040766,0.9993425378040762,4.443813738039113e-16,3.332860303529335e-16,3.842989840459334,3.8429898404598584,5.24469356832924e-13
1530,0.9993468321358593,0.9993468321358592,0.999346832135859,3.3328459817668915e-16,2.2218973211779277e-16,3.846267465623873,3.8462674656242593,3.863576125695545e-13
1540,0.9993510707332904,0.9993510707332903,0.9993510707332901,3.3328318460013625e-16,2.2218878973342417e-16,3.8495237449891286,3.849523744989619,4.902744876744691e-13
1550,0.999355254674404,0.9993552546744039,0.9993552546744036,4.443757190177079e-16,3.3328178926328087e-16,3.8527589547895262,3.852758954789487,3.907985046680551e-14
1560,0.9993593850096096,0.9993593850096095,0.9993593850096092,4.443738824204793e-16,3.332804118153595e-16,3.8559733659318507,3.8559733659318676,1.687538997430238e-14
1570,0.999363462762572,0.9993634627625719,0.9993634627625716,4.443720692193939e-16,3.332790519145454e-16,3.859167244131376,3.8591672441313216,5.417888360170764e-14
1580,0.9993674889310569,0.9993674889310568,0.9993674889310563,5.554628487127761e-16,4.443702789702209e-16,3.8623408500436724,3.862340850043574,9.85878045867139e-14
1590,0.9993714644877443,0.9993714644877442,0.9993714644877436,6.665527668598581e-16,5.554606390498818e-16,3.86549443939226,3.8654944393923865,1.2656542480726785e-13
1600,0.9993753903810125,0.9993753903810124,0.9993753903810119,6.665501484093284e-16,5.554584570077736e-16,3.868628263092258,3.8686282630925684,3.1041835768519377e-13
1610,0.9993792675356928,0.9993792675356926,0.9993792675356921,7.776388229004902e-16,5.554563020717786e-16,3.8717425673701853,3.8717425673704833,2.97983859809392e-13
1620,0.9993830968537947,0.9993830968537945,0.999383096853794,6.66545008487918e-16,4.443633389919454e-16,3.874837593880051,3.8748375938800104,4.04121180963557e-14
1630,0.9993868792152062,0.999386879215206,0.9993868792152054,7.776329001316204e-16,5.55452071522586e-16,3.8779135798158793,3.8779135798160036,1.2434497875801753e-13
